index_regime_date,index_regime,index_score,index_score_delta,index_gate_advice,index_temp_bucket,index_circuit_state,index_pos_factor,index_policy_reason,dynamic_qty,qty_source,blocked_by_index_circuit,date,time,code,name,action,score,buy_score,sell_score,price,vwap,notify,notify_threshold,hold_qty,daily_gate,daily_trend_bg,daily_support_name,daily_support_gap,daily_status,reasons,minute_source,daily_context_source
2026-06-29,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-06-29,14:24:00,000988,华工科技,SELL_HIGH,105.0,-7.0,105.0,176.71,174.67010378622973,True,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|区间高位|二次冲高未突破|冲高背离|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-06-30,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-06-30,10:34:00,000988,华工科技,SELL_HIGH,111.0,-8.0,111.0,184.18,178.2777070477525,True,65,800,overheat,bull,,0.0,ok,回吐空间|盈利空间|长上影|二次冲高未突破|冲高背离|日线过热,cache,direct_build
2026-07-01,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-01,14:04:00,000988,华工科技,SELL_HIGH,105.0,45.0,105.0,174.54,179.638710728929,True,65,800,overheat,bull,,0.0,ok,RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-07-02,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-02,10:34:00,000988,华工科技,SELL_HIGH,59.0,-7.0,59.0,163.11,162.35329444101262,False,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-02,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-02,11:14:00,000988,华工科技,SELL_HIGH,87.0,-9.0,87.0,162.8,162.37716974275003,True,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-07-03,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-03,10:14:00,000988,华工科技,SELL_HIGH,84.0,14.0,84.0,154.53,153.33106111622715,True,65,800,overheat,bull,,0.0,ok,回吐空间|长上影|双顶保护|强空头优先高抛|日线过热,cache,direct_build
2026-07-07,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-07,10:54:00,000988,华工科技,SELL_HIGH,56.0,-5.0,56.0,151.84,150.70330930859006,False,65,800,overheat,bull,,0.0,ok,回吐空间|布林偏上|长上影|强空头优先高抛|日线过热,cache,direct_build
2026-07-09,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-09,10:34:00,000988,华工科技,SELL_HIGH,59.0,6.0,59.0,149.49,148.98830262231596,False,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-09,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-09,13:04:00,000988,华工科技,SELL_HIGH,111.0,-17.0,111.0,150.5,149.2329572377813,True,65,800,overheat,bull,,0.0,ok,回吐空间|MACD拐头|长上影|二次冲高未突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-13,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-13,10:34:00,000988,华工科技,SELL_HIGH,55.0,11.0,55.0,160.4,159.80465906657156,False,65,800,overheat,bull,,0.0,ok,回吐空间|MACD拐头|长上影|EMA转弱|冲高背离|强空头优先高抛|日线过热,cache,direct_build
2026-07-15,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-15,13:44:00,000988,华工科技,SELL_HIGH,115.0,14.0,115.0,150.94,151.695029215692,True,65,800,overheat,bull,,0.0,ok,RSI超买|布林偏上|双顶保护|压力区突破|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-07-16,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-16,10:14:00,000988,华工科技,PANIC_SELL,79.0,-8.0,79.0,136.95,133.93109803864598,True,65,800,overheat,bull,,0.0,ok,深套止损最终防线|回吐空间|盈利空间|RSI超买|二次冲高未突破|强空头优先高抛|日线过热,cache,direct_build
